ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,g,bp,rp,bp_rp,bp_g,g_rp
345.7623202960371,0.9211479,59.4048991077102,0.9186539,0.8246241989264659,0.99942315,2.5224533,-2.31596524104854,0.96054137,-0.9995377593140222,1.1147951,20.646051,20.767065,19.65714,1.1099243,0.12101364,0.9889107
345.76726821111504,0.51036566,59.401355840177935,0.53246224,-1.3073222501339061,0.6557486,2.6202214,-2.4401897888028152,0.65516263,-0.9544806120766444,0.86395794,20.477642,21.5535,19.469723,2.0837765,1.0758572,1.0079193
345.7741100162668,0.691411,59.41273465784506,0.6168461,0.6585089186324818,0.7779382,1.9794825,-1.9398854829085397,0.64409035,-0.39394862147413734,0.7618752,20.69184,21.33284,19.844366,1.4884739,0.64100075,0.84747314
345.7703167141648,0.116951786,59.40455967184072,0.11367278,0.17606098625531363,0.1426848,1.0186447,0.9565515492417859,0.14088988,-0.3502088456772841,0.1491738,18.333721,18.92809,17.288307,1.639782,0.594368,1.045414
345.77004392100235,0.109337725,59.402411249979096,0.105493784,0.41191928567758973,0.13495322,1.1069589,0.41015118395802236,0.13170701,-1.0281702095015754,0.14142649,18.357399,18.88568,17.080362,1.8053169,0.52828026,1.2770367
345.7843357095834,0.42340103,59.407429529426864,0.43454835,0.5437048654163852,0.52990746,4.0285463,-2.935714861345691,0.49379036,-2.7587609517274556,0.5435368,20.190056,21.130825,18.99407,2.136755,0.9407692,1.1959858
345.7816298482646,0.34532207,59.405483730155495,0.35124934,-0.28482771066750223,0.41660902,4.525252,-2.725450168549018,0.4383292,-3.6124545207200596,0.48406574,19.4673,19.0455,16.161697,2.8838024,-0.4218006,3.305603
345.77008456930383,0.2920935,59.40123962051457,0.27927393,0.5879975727892038,0.34561452,3.2298596,-1.7182957510576495,0.34099224,-2.7348587716862554,0.3659596,19.781002,20.779661,18.639791,2.1398697,0.99865913,1.1412106
345.77262140221563,0.71634054,59.40138753685227,0.656944,-0.59774963670294,0.815049,8.822769,-1.4103714099870783,0.91125274,-8.709311769580594,0.95501834,20.157862,20.821198,18.916237,1.9049606,0.6633358,1.2416248
345.77304986607567,1.3220106,59.40565062651278,1.0213177,,,,,,,,20.752197,21.210453,19.796946,1.4135075,0.45825577,0.9552517
345.7813557813759,2.0258265,59.408187497432145,1.819631,-2.280620661009299,2.2522755,4.2426496,-2.6854467067826207,2.0153859,3.284577510642049,3.0208383,20.870245,21.384192,19.788939,1.595253,0.51394653,1.0813065
345.767033675264,0.053059794,59.40880812340348,0.053410057,0.3935423879610539,0.06483216,4.499191,-3.4192031120841646,0.06114783,-2.9243406929937885,0.06924328,17.266668,17.826471,16.557852,1.2686195,0.559803,0.7088165
345.77696732241986,0.059859782,59.41081474424123,0.05987566,1.0256804496534528,0.07219208,9.439072,-9.041152744265258,0.06884305,-2.711757056533455,0.07799736,17.480127,18.32202,16.604582,1.7174377,0.84189224,0.8755455
345.7762490792287,0.0399542,59.40903384746656,0.040720183,0.3310023786380452,0.048749387,4.307221,-2.5675954720160856,0.046683334,3.458266488507754,0.05298589,16.700716,17.204273,16.017183,1.1870899,0.5035572,0.6835327
345.77036368388355,0.14705303,59.4020362621786,0.12662226,0.3353430624008177,0.16880736,2.0357437,-1.9989572171066683,0.19615231,-0.3852562896745241,0.16925098,18.436544,18.933973,17.004066,1.9299068,0.4974289,1.432478
345.7826445490142,0.023454217,59.405053190029044,0.025655285,0.23388375719293233,0.029709982,4.4510775,-3.681151747638104,0.029938892,-2.5022416951318682,0.033106573,12.840567,15.017737,11.498966,3.5187712,2.1771708,1.3416004
345.7783460702113,0.1902067,59.408875207527316,0.1877611,0.733062586367854,0.23363909,2.5565426,-2.41369299071933,0.2193862,0.8426126083852051,0.24854004,19.234486,20.310486,18.215439,2.095047,1.0760002,1.0190468
