ra,ra_err,dec,dec_err,u,u_err,g,g_err,r,r_err,i,i_err,z,g_err1
345.464303964259,0.0640796047440074,59.669502716303,0.0553847311712124,23.93572,0.7750937,22.81057,0.16237,21.65101,0.1058223,20.6273,0.05155986,19.9451,0.16237
345.471873720912,0.0279645787849132,59.6696713081245,0.0268214737094582,25.01189,0.8825476,22.26168,0.1205287,20.82659,0.08532737,20.14115,0.1468108,19.51005,0.1205287
345.473003838756,0.0414508296452424,59.6696768313625,0.0410850273316831,25.46807,0.710516,23.12149,0.3291396,21.33667,0.220052,19.78055,0.06430977,18.87801,0.3291396
345.470321398449,0.0188606652762344,59.6700726627965,0.0194138032021703,25.23347,0.8075563,22.05628,0.1014244,20.42378,0.0383984,19.50329,0.03613352,18.77576,0.1014244
345.46375066263,0.00426107785661435,59.6716632101429,0.00435303479767574,23.30095,0.514065,19.73283,0.01829375,18.17916,0.008130909,16.98713,0.0118729,16.27394,0.01829375
345.428752382908,0.122802641458033,59.662523968553,0.128447854014329,24.42526,0.9125299,25.01727,0.8532919,23.29857,0.4020257,21.76168,0.1449391,21.06963,0.8532919
345.424494146131,0.152954013742597,59.663247774261,0.124351933230511,23.84074,0.7301582,24.84031,0.647809,22.61938,0.2679658,21.37185,0.1152215,20.6205,0.647809
345.425908172511,0.108449108823747,59.6618758224283,0.105521717349533,24.77691,0.9139636,24.80349,0.6421342,23.71191,0.3743356,21.40618,0.1280213,20.55789,0.6421342
345.418410769657,0.0635214814722423,59.662205137432,0.0570153774680942,24.9312,0.8824946,23.35181,0.3268754,21.51217,0.1843483,20.58811,0.1119541,19.94643,0.3268754
345.413399152457,0.0320936261360214,59.6609000634278,0.0363378261802194,24.02291,0.7972651,22.95335,0.2029691,21.07728,0.05517029,20.14344,0.03624202,19.34117,0.2029691
345.491319701545,0.00884780540891999,59.6372190880598,0.00894152695250255,22.65424,0.3390935,20.59077,0.4876078,19.41407,0.3904214,18.78528,0.3209322,18.19436,0.4876078
345.452032741656,0.0197846914246131,59.6273931467028,0.0214323489216037,24.02852,0.9278184,22.002,0.1035572,20.44469,0.03513225,19.64786,0.02789761,19.01157,0.1035572
345.38831417259,0.0188455191558776,59.6214135544312,0.0180088982581021,24.82559,4.713748,21.75149,2.50017,20.11346,1.491262,19.37352,0.9959767,18.70864,2.50017
345.38786856196,0.00138540354432464,59.6200197400871,0.00140514294408164,18.59123,0.02127163,16.97588,0.01317641,16.15702,0.00593075,15.73581,0.01147455,15.32606,0.01317641
345.569029090376,0.134689148777109,59.6559539726467,0.118513923011295,24.86287,0.9275609,24.5955,0.4737562,24.76815,0.7154374,21.7663,0.1372148,21.19149,0.4737562
345.52379630364,0.144350157406368,59.6481755421572,0.120641312634018,25.62151,0.7824631,25.12951,0.6573941,23.80184,0.4996692,21.82725,0.1521794,22.26914,0.6573941
345.552046034557,0.162367460969362,59.6534824072635,0.134623759534564,24.61571,0.991253,24.87303,0.6459868,23.93456,0.6149467,21.62676,0.148575,20.76657,0.6459868
345.539952717824,0.145524005003045,59.6518015911277,0.161551680215431,25.35798,0.7739455,25.22196,0.6905445,23.04278,0.3001403,22.22584,0.2151978,20.85134,0.6905445
345.536450244305,0.10737963116886,59.6535332036378,0.107824280685841,25.12714,0.9767019,24.16906,0.5872424,22.34384,0.2505478,21.40355,0.1237054,20.97883,0.5872424
345.555963283843,0.123142717225875,59.6528178112175,0.131320442498234,25.32862,0.777716,24.80261,0.7539785,23.02585,0.3524577,21.05668,0.1018353,20.55952,0.7539785
345.5376841703,0.125890199865817,59.653211862007,0.113881626970329,25.29403,0.8521411,26.21114,0.8315385,24.65247,0.7415583,21.69783,1.263571,23.78392,0.8315385
345.522710320434,0.122931121035268,59.6467306616701,0.118523657400932,25.3051,0.7903616,24.76884,0.6276427,23.19016,0.3110391,21.80307,0.1536184,20.84536,0.6276427
345.551128700825,0.103171444114792,59.6536332148325,0.115988278451371,24.55709,0.6435696,24.06278,0.470062,22.61379,0.1959264,21.66887,0.1362348,21.20213,0.470062
345.51297930423,0.0861127649184726,59.6465429234604,0.098788864421429,24.88755,0.9290495,25.19327,0.6548563,22.47556,0.19054,21.61615,0.1323384,20.66869,0.6548563
345.557232028612,0.0977336692689838,59.6655013496698,0.0811437181043253,24.41043,1.866657,24.3237,0.5665586,22.424,0.1415494,21.35085,0.09656636,20.44541,0.5665586
345.564934029964,0.111544184135153,59.6558367606756,0.1065665982185,25.23305,0.8200728,25.21036,0.6584772,24.66883,0.587537,21.34267,0.09961095,22.05354,0.6584772
345.533619108806,0.117906655297723,59.6515241645108,0.117898822510605,23.87535,0.8503369,24.76255,1.300423,22.43668,0.1729652,21.15137,0.08701015,20.46815,1.300423
345.531424277467,0.0774791982619704,59.6539209303781,0.0842191950932594,24.87531,1.324948,23.68084,0.9412605,21.84916,0.1165951,21.05738,0.09125311,20.76087,0.9412605
345.554859151348,0.078127192757292,59.6556010972911,0.0814736878045748,23.61445,0.8634502,23.29945,0.2734894,22.47288,0.1922872,20.86882,0.06784658,20.38725,0.2734894
345.521742169776,0.041881388441133,59.6451665350837,0.0450407755566141,24.23899,0.7470002,23.1778,0.2589944,21.37464,0.07920288,20.67983,0.0618233,20.13212,0.2589944
